second,philosopher,eatCount,eatNanosDelta,blockedMillisDelta
0,Raphael,0,0,0
0,Donatello,0,0,0
0,Splinter,0,0,0
0,Michelangelo,0,0,0
0,Leonardo,0,0,0
1,Raphael,4,150726000,648
1,Donatello,5,187740100,614
1,Splinter,5,228812600,495
1,Michelangelo,5,265569000,436
1,Leonardo,4,253787900,539
2,Raphael,8,286877800,567
2,Donatello,9,151639100,650
2,Splinter,9,180953200,509
2,Michelangelo,9,308717200,555
2,Leonardo,8,170782700,547
3,Raphael,12,257767400,625
3,Donatello,14,193787900,503
3,Splinter,13,221793500,584
3,Michelangelo,12,152822600,669
3,Leonardo,11,235841800,554
4,Raphael,15,181848800,644
4,Donatello,17,158882300,608
4,Splinter,17,164779700,607
4,Michelangelo,16,225753000,513
4,Leonardo,15,218839000,459
5,Raphael,19,219804800,617
5,Donatello,21,284744400,566
5,Splinter,20,102862800,751
5,Michelangelo,20,276837900,564
5,Leonardo,19,166785900,694
6,Raphael,26,349731500,174
6,Donatello,28,379733200,218
6,Splinter,26,280677800,340
6,Michelangelo,29,342640100,331
6,Leonardo,27,229882800,212
7,Raphael,33,268788200,434
7,Donatello,33,247769100,428
7,Splinter,33,389815000,428
7,Michelangelo,35,232752800,458
7,Leonardo,34,264698700,409
8,Raphael,39,337698200,349
8,Donatello,38,262856700,513
8,Splinter,37,199800100,563
8,Michelangelo,39,177844300,550
8,Leonardo,39,300773100,441
9,Raphael,44,200739800,552
9,Donatello,43,240823200,532
9,Splinter,42,207778800,587
9,Michelangelo,44,328725800,563
9,Leonardo,43,182823600,666
10,Raphael,49,152812000,611
10,Donatello,48,301833300,417
10,Splinter,47,280741900,525
10,Michelangelo,49,239748900,488
10,Leonardo,48,186803200,617
11,Raphael,55,223743200,426
11,Donatello,53,353849300,332
11,Splinter,52,218697800,429
11,Michelangelo,54,304893300,535
11,Leonardo,53,201734700,612
12,Raphael,59,245640500,684
12,Donatello,57,232895800,561
12,Splinter,56,162690700,624
12,Michelangelo,58,312842100,501
12,Leonardo,57,160841600,511
13,Raphael,66,246720300,432
13,Donatello,64,340696900,219
13,Splinter,62,322603200,410
13,Michelangelo,65,281892300,360
13,Leonardo,63,341754500,255
14,Raphael,73,293732800,369
14,Donatello,69,265617600,249
14,Splinter,71,391848500,184
14,Michelangelo,71,271797500,280
14,Leonardo,69,285728500,391
15,Raphael,78,205727200,486
15,Donatello,74,244809200,448
15,Splinter,78,392681300,371
15,Michelangelo,76,273831300,378
15,Leonardo,75,270804900,410
16,Raphael,82,258813400,520
16,Donatello,79,242118300,555
16,Splinter,82,152887800,693
16,Michelangelo,80,111421400,708
16,Leonardo,80,392136000,386
17,Raphael,89,324692100,316
17,Donatello,87,252794000,369
17,Splinter,89,265821700,214
17,Michelangelo,88,278714800,312
17,Leonardo,87,354800300,311
18,Raphael,92,169844400,589
18,Donatello,91,246873300,544
18,Splinter,94,211716000,501
18,Michelangelo,93,321660700,445
18,Leonardo,91,162071300,549
19,Raphael,97,433845400,279
19,Donatello,97,273850900,391
19,Splinter,100,220870100,369
19,Michelangelo,98,335817200,292
19,Leonardo,96,215758200,473
20,Raphael,100,159809700,723
20,Donatello,99,171864600,742
20,Splinter,102,149933000,753
20,Michelangelo,99,85886500,798
20,Leonardo,97,89005000,843
21,Raphael,100,0,1000
21,Donatello,99,0,1001
21,Splinter,102,0,1001
21,Michelangelo,99,0,1001
21,Leonardo,97,0,1001
22,Raphael,100,0,1002
22,Donatello,99,0,1002
22,Splinter,102,0,1002
22,Michelangelo,99,0,1002
22,Leonardo,97,0,1002
23,Raphael,100,0,1002
23,Donatello,99,0,1001
23,Splinter,102,0,1001
23,Michelangelo,99,0,1001
23,Leonardo,97,0,1001
24,Raphael,100,0,1000
24,Donatello,99,0,1001
24,Splinter,102,0,1001
24,Michelangelo,99,0,1001
24,Leonardo,97,0,1001
25,Raphael,100,0,1001
25,Donatello,99,0,1001
25,Splinter,102,0,1001
25,Michelangelo,99,0,1001
25,Leonardo,97,0,1001
26,Raphael,100,0,1003
26,Donatello,99,0,1003
26,Splinter,102,0,1002
26,Michelangelo,99,0,1002
26,Leonardo,97,0,1002
27,Raphael,100,0,1000
27,Donatello,99,0,1000
27,Splinter,102,0,1001
27,Michelangelo,99,0,1001
27,Leonardo,97,0,1001
28,Raphael,100,0,1001
28,Donatello,99,0,1001
28,Splinter,102,0,1001
28,Michelangelo,99,0,1001
28,Leonardo,97,0,1001
29,Raphael,100,0,1001
29,Donatello,99,0,1001
29,Splinter,102,0,1001
29,Michelangelo,99,0,1001
29,Leonardo,97,0,1001
30,Raphael,100,0,1001
30,Donatello,99,0,1001
30,Splinter,102,0,1001
30,Michelangelo,99,0,1001
30,Leonardo,97,0,1001
31,Raphael,100,0,1001
31,Donatello,99,0,1001
31,Splinter,102,0,1001
31,Michelangelo,99,0,1001
31,Leonardo,97,0,1001
32,Raphael,100,0,1001
32,Donatello,99,0,1001
32,Splinter,102,0,1001
32,Michelangelo,99,0,1001
32,Leonardo,97,0,1001
33,Raphael,100,0,1001
33,Donatello,99,0,1001
33,Splinter,102,0,1001
33,Michelangelo,99,0,1001
33,Leonardo,97,0,1001
34,Raphael,100,0,1001
34,Donatello,99,0,1001
34,Splinter,102,0,1001
34,Michelangelo,99,0,1001
34,Leonardo,97,0,1001
35,Raphael,100,0,1001
35,Donatello,99,0,1001
35,Splinter,102,0,1001
35,Michelangelo,99,0,1001
35,Leonardo,97,0,1001
36,Raphael,100,0,1001
36,Donatello,99,0,1001
36,Splinter,102,0,1001
36,Michelangelo,99,0,1001
36,Leonardo,97,0,1001
37,Raphael,100,0,1001
37,Donatello,99,0,1001
37,Splinter,102,0,1001
37,Michelangelo,99,0,1001
37,Leonardo,97,0,1001
38,Raphael,100,0,1002
38,Donatello,99,0,1002
38,Splinter,102,0,1002
38,Michelangelo,99,0,1002
38,Leonardo,97,0,1002
39,Raphael,100,0,1001
39,Donatello,99,0,1001
39,Splinter,102,0,1001
39,Michelangelo,99,0,1001
39,Leonardo,97,0,1001
40,Raphael,100,0,1001
40,Donatello,99,0,1001
40,Splinter,102,0,1001
40,Michelangelo,99,0,1001
40,Leonardo,97,0,1001
41,Raphael,100,0,1001
41,Donatello,99,0,1001
41,Splinter,102,0,1001
41,Michelangelo,99,0,1001
41,Leonardo,97,0,1001
42,Raphael,100,0,1002
42,Donatello,99,0,1002
42,Splinter,102,0,1002
42,Michelangelo,99,0,1002
42,Leonardo,97,0,1002
43,Raphael,100,0,1002
43,Donatello,99,0,1001
43,Splinter,102,0,1001
43,Michelangelo,99,0,1001
43,Leonardo,97,0,1001
44,Raphael,100,0,1001
44,Donatello,99,0,1002
44,Splinter,102,0,1002
44,Michelangelo,99,0,1002
44,Leonardo,97,0,1002
45,Raphael,100,0,1001
45,Donatello,99,0,1001
45,Splinter,102,0,1001
45,Michelangelo,99,0,1001
45,Leonardo,97,0,1001
46,Raphael,100,0,1002
46,Donatello,99,0,1002
46,Splinter,102,0,1002
46,Michelangelo,99,0,1002
46,Leonardo,97,0,1002
47,Raphael,100,0,1002
47,Donatello,99,0,1001
47,Splinter,102,0,1001
47,Michelangelo,99,0,1001
47,Leonardo,97,0,1001
48,Raphael,100,0,1001
48,Donatello,99,0,1001
48,Splinter,102,0,1001
48,Michelangelo,99,0,1001
48,Leonardo,97,0,1001
49,Raphael,100,0,1000
49,Donatello,99,0,1001
49,Splinter,102,0,1001
49,Michelangelo,99,0,1001
49,Leonardo,97,0,1001
50,Raphael,100,0,1002
50,Donatello,99,0,1001
50,Splinter,102,0,1001
50,Michelangelo,99,0,1001
50,Leonardo,97,0,1001
51,Raphael,100,0,1001
51,Donatello,99,0,1001
51,Splinter,102,0,1001
51,Michelangelo,99,0,1001
51,Leonardo,97,0,1001
52,Raphael,100,0,1000
52,Donatello,99,0,1001
52,Splinter,102,0,1001
52,Michelangelo,99,0,1001
